stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Ambuja Cements Ltd.,157.80,156.65,7.7,0.95,2.00,75.00,20.34,28.61,111.83,1.41,122.0,11667.88,11356.76,10446.85,9267.82,9461.4,7.7,7.49,6.29,4.89,5.21,397.13,397.13,397.13,397.13,310.38,1528.54,1487.01,1249.57,970.09,807.56
Yes Bank Ltd.,23.95,23.95,-,8.35,2.00,100.00,-,25.52,23.07,1.04,82.0,7.45,18.43,78.89,60.62,49.34,463.01,460.59,456.49,420.53,417.74,1720.27,4224.56,3330.09,2539.45,2005.36
Alkem Laboratories Ltd.,2270.00,2270.05,99.03,0.70,2.00,800.00,22.92,28.81,457.09,4.97,607.0,5714.09,5300.26,4668.45,3924.69,3182.93,66.9,59.87,73.86,53.4,36.7,23.91,23.91,23.91,23.91,23.91,799.84,715.84,883.16,638.44,438.84
Hindustan Petroleum Corporation Ltd.,184.50,184.00,36.62,8.62,10.00,159.00,5.02,13.59,184.89,1.00,243.8,275197.42,219332.6,187023.71,177700.63,206626.19,39.56,41.72,61.12,36.68,80.72,1523.82,1523.82,1015.88,338.63,339.01,6028.66,6357.07,6208.8,3726.16,2733.26
Petronet LNG Ltd.,203.00,200.00,18.53,4.93,10.00,100.00,10.79,13.59,67.11,3.02,43.0,38395.43,30598.62,24616.03,27133.42,39500.95,14.37,13.85,22.74,12.18,11.77,1500.0,1500.0,750.0,750.0,750.0,2155.43,2077.85,1705.67,913.26,882.52
Torrent Pharmaceuticals Ltd.,1959.15,1959.00,55.25,0.87,5.00,340.00,35.46,28.81,296.37,6.61,365.0,5762.0,4248.0,4593.0,5440.0,3476.0,44.05,28.48,50.48,102.99,36.83,84.62,84.62,85.0,85.0,84.62,745.0,482.0,854.0,1742.0,623.0
Tata Steel Ltd.,266.45,266.35,85.86,4.88,10.00,130.00,3.1,3.54,625.26,0.43,98.0,70610.92,59160.79,47993.02,38268.67,41785.0,90.41,38.57,33.67,8.05,64.49,1146.12,1146.12,971.41,971.41,971.41,10533.19,4169.55,3444.55,955.65,6439.12
Info Edge India Ltd.,2014.90,2013.95,18.8,0.30,10.00,60.00,107.12,24.85,189.72,10.62,44.0,1098.26,915.49,802.11,723.48,611.58,23.12,15.04,16.91,11.76,16.82,122.12,121.77,121.22,120.92,120.22,281.7,182.37,204.4,141.58,193.86
Bosch Ltd.,9200.95,9235.80,332.4,1.14,10.00,1050.00,27.79,14.76,3094.29,2.97,910.0,12257.91,11690.15,10435.12,9701.39,9858.77,525.2,449.1,560.9,487.7,334.05,29.49,30.52,30.52,31.4,31.4,1598.04,1370.72,1741.12,1531.34,1050.21
Indraprastha Gas Ltd.,387.90,390.55,15.84,0.62,2.00,120.00,24.66,20.30,59.00,6.57,85.0,5764.84,4592.14,3814.78,3685.79,3680.99,11.24,9.58,40.79,29.93,31.27,140.0,140.0,140.0,140.0,140.0,786.67,670.77,571.07,419.05,437.73
Larsen & Toubro Infotech Ltd.,1391.10,1392.25,85.97,2.01,1.00,2800.00,16.19,18.56,270.69,5.14,2622.0,8907.2,6906.4,6182.9,5568.5,4744.4,85.31,67.74,55.11,52.23,239.88,17.4,17.2,17.1,16.98,16.13,1475.1,1160.1,937.6,856.2,773.6
Embassy Office Parks REIT Ltd.,334.98,334.29,5.13,-,300.00,0.00,65.16,9.69,299.88,1.12,0.0,0.0,0.0,0.0,0.0,22903.93,0.0,-9.45,0.0
Bharti Infratel Ltd.,154.95,155.10,9.35,9.68,10.00,150.00,16.59,10.47,84.69,1.83,118.0,6821.7,6618.0,6084.7,5558.3,5388.9,15.03,13.05,14.49,7.0,14.41,1849.6,1849.6,1849.6,1896.7,1893.8,2779.0,2413.9,2705.0,1327.4,2725.2
Cadila Healthcare Ltd.,262.90,263.85,12.21,1.33,1.00,350.00,21.61,28.81,87.49,3.00,316.0,6492.7,5809.9,3230.7,7032.0,5284.43,15.65,10.66,6.47,19.9,62.08,102.4,102.4,102.4,102.4,102.4,1602.1,1090.8,661.9,2037.5,1271.12
Muthoot Finance Ltd.,609.90,604.50,67.4,1.97,10.00,120.00,8.97,23.33,244.19,2.50,80.0,6878.21,6161.83,5728.63,4861.4,4313.8,49.27,43.04,29.56,20.34,16.97,400.66,400.04,399.48,399.0,397.97,1972.14,1720.27,1179.83,809.55,670.52
Lupin Ltd.,579.20,579.05,23.07,0.86,2.00,250.00,25.1,28.81,377.87,1.53,275.0,11356.32,10088.18,12753.15,11343.77,9752.47,41.54,29.76,69.63,62.92,53.41,90.5,90.42,90.32,90.12,89.9,1538.83,1344.66,3141.33,2830.87,2397.35
TATA Consumer Products Ltd.,280.15,280.00,3.83,0.89,1.00,250.00,73.11,47.25,48.30,5.80,237.0,3429.66,3217.32,3063.89,2986.79,2884.52,6.51,8.47,4.37,3.59,4.58,63.11,63.11,63.11,63.11,61.84,410.93,534.32,276.0,226.49,289.0
NMDC Ltd.,78.30,78.55,15.39,7.05,1.00,552.00,5.1,6.75,84.76,0.92,690.4,12152.67,11614.9,8826.64,6454.33,12356.41,14.7,12.03,7.22,6.84,16.2,306.19,316.39,316.39,396.47,396.47,4642.11,3805.88,2589.14,2712.22,6421.86
Bank Of Baroda,51.20,51.25,-,-,2.00,0.00,-,108.12,100.28,0.51,44.0,1.64,-10.53,6.0,-23.89,15.83,530.36,530.36,462.09,462.09,443.56,433.52,-2431.81,1383.13,-5395.55,3398.43
Power Finance Corporation Ltd.,89.85,88.90,24.01,-,10.00,0.00,3.7,3.44,163.96,0.55,71.6,28842.0,26414.47,26716.23,27473.65,24861.32,26.34,22.18,8.05,23.16,45.15,2640.08,2640.08,2640.08,1320.04,1320.04,6952.92,5855.22,2126.39,6113.48,5959.33
Adani Green Energy Ltd.,152.65,152.90,0.5,-,10.00,0.00,305.8,7.26,9.01,16.94,0.0,318.13,98.44,9.91,0.0,0.0,-0.32,-0.21,-0.71,-21.32,0.0,1564.01,1376.75,1273.9,160.0,0.0,-34.98,-28.61,-49.3,-0.89,0.0
MRF Ltd.,55199.95,55108.85,2403.46,0.11,10.00,600.00,22.93,16.02,25118.94,2.20,460.0,15837.0,14821.92,13245.81,6750.53,13197.58,2586.26,2575.43,3421.43,2191.55,2117.09,4.24,4.24,4.24,4.24,4.24,1096.87,1092.28,1451.08,929.47,897.89
Aurobindo Pharma Ltd.,392.15,392.30,27.44,0.64,1.00,250.00,14.3,28.81,193.72,2.02,260.0,12257.89,10303.15,9781.21,9322.76,8095.1,26.11,30.94,29.16,27.85,52.01,58.59,58.59,58.59,58.52,29.2,1529.73,1812.77,1706.76,1626.7,1516.34
United Breweries Ltd.,891.15,889.70,17.17,0.28,1.00,250.00,51.82,39.72,120.34,7.41,156.0,6472.43,5617.03,4734.12,4838.81,4692.29,21.29,14.9,8.67,11.27,9.71,26.44,26.44,26.44,26.44,26.44,562.78,393.99,229.33,297.87,259.53
UPL Ltd.,306.00,305.75,6.56,2.61,2.00,400.00,46.61,33.05,104.34,2.93,330.0,8660.0,7263.0,6938.72,5980.78,5334.99,7.96,10.78,4.82,8.99,10.81,102.0,102.0,101.4,85.72,85.72,405.0,548.0,244.6,385.17,463.33
Piramal Enterprises Ltd.,936.30,936.50,25.33,2.99,2.00,1400.00,36.97,28.81,975.51,0.96,1115.0,3671.4,3288.63,3766.21,3384.35,2401.41,-43.4,28.52,45.01,57.7,21.6,36.89,36.05,34.51,34.51,34.51,-861.98,518.47,776.78,995.7,372.74
Kansai Nerolac Paints Ltd.,385.25,388.95,10.33,0.67,1.00,260.00,37.65,73.14,63.54,6.06,253.0,5173.62,4586.57,3999.07,3830.22,3549.06,8.67,9.58,9.39,6.6,5.04,53.89,53.89,53.89,53.89,53.89,467.35,516.4,505.94,891.1,271.67
