stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Vedanta Ltd.,62.75,62.65,9.67,30.04,1.00,1885.00,6.48,6.75,209.51,0.30,1342.0,38644.0,45524.0,36663.26,34094.28,32502.41,13.08,7.46,25.72,20.91,6.5,372.0,372.0,296.5,296.5,296.5,5075.0,7256.0,11068.7,-11906.23,1927.2
IndusInd Bank Ltd.,342.30,342.25,64.54,2.19,10.00,75.00,5.3,25.52,381.24,0.90,59.0,54.9,60.19,48.06,39.68,33.99,602.69,600.22,598.15,594.99,529.45,3301.1,3605.99,2867.89,2286.45,1793.72
Whirlpool of India. Ltd.,1781.00,1773.55,38.86,0.28,10.00,50.00,45.64,57.77,168.88,10.55,24.0,5397.65,4831.91,3940.77,3488.12,3293.78,32.08,27.64,24.47,19.54,16.59,126.87,126.87,126.87,126.87,126.87,407.05,350.67,310.49,247.38,210.51
Tata Motors Ltd.,67.95,67.95,-,-,2.00,0.00,-,11.52,71.55,0.95,2.0,69202.76,58831.41,44363.6,42845.47,36294.74,6.94,-3.05,-7.3,-0.18,-14.72,679.22,679.22,679.22,679.18,643.78,2020.6,-1034.85,-2479.99,-62.3,-4738.95
Honeywell Automation Ltd.,25300.00,25447.65,523.86,0.18,10.00,450.00,48.58,43.09,1976.43,12.80,194.0,3174.74,2689.98,2410.07,2187.62,1970.49,405.86,282.45,191.65,156.69,121.12,8.84,8.84,8.84,8.84,8.84,358.84,249.73,169.45,141.19,107.09
3M India Ltd.,18456.05,18469.55,268.93,-,10.00,0.00,68.68,29.63,1650.70,11.18,0.0,2808.76,2556.14,2362.98,2139.6,1840.3,286.72,275.66,213.72,172.89,96.17,11.27,11.27,11.27,11.27,11.27,322.99,310.54,240.76,194.76,108.34
Jet Airways Ltd.,14.01,14.30,-,-,10.00,0.00,-,228.17,-637.51,-,0.0,23286.53,21552.35,21281.45,19573.43,17301.89,-67.57,34.37,103.31,-159.66,-381.3,113.6,113.6,113.6,113.6,113.6,-767.62,390.43,1173.56,-1813.71,-3667.85
SpiceJet Ltd.,38.70,38.55,-,-,10.00,0.00,-,228.17,-5.84,-,0.0,9113.25,7795.09,6191.27,5088.07,5201.53,-5.27,9.45,7.19,7.5,-12.28,599.72,599.45,599.45,599.45,599.45,-316.08,566.66,430.73,449.79,-687.05
Kaveri Seed Company Ltd.,318.45,320.05,38.2,0.94,2.00,150.00,8.38,14.86,167.81,1.90,160.0,768.99,772.4,669.89,848.96,1115.52,33.3,31.36,11.36,25.71,43.81,12.63,13.22,13.81,13.81,13.78,214.73,210.34,78.47,177.12,301.84
JK Agri Genetics Ltd.,332.00,,2.38,0.45,10.00,15.00,139.5,14.86,279.48,1.19,31.0,190.68,202.34,192.98,188.77,209.83,13.81,33.26,33.54,22.25,33.9,3.6,3.6,3.6,3.6,3.6,4.98,11.99,12.09,8.02,12.22
Bombay Burmah Trading Corporation Ltd.,729.20,726.10,1.09,0.14,2.00,50.00,666.15,47.25,36.84,19.79,50.0,241.96,207.9,261.89,244.28,259.96,-2.82,-3.7,-0.46,-4.75,1.01,13.95,13.95,13.95,13.96,13.96,-19.7,-25.83,-3.2,-33.14,7.03
Global Vectra Helicorp Ltd.,36.65,36.15,7.85,-,10.00,0.00,4.61,228.17,47.36,0.77,0.0,480.31,404.34,372.95,357.38,346.81,5.01,-1.23,15.85,9.22,13.42,14.0,14.0,14.0,14.0,14.0,7.02,-1.72,22.19,12.91,23.12
Goodricke Group Ltd.,125.45,,2.98,3.19,10.00,40.00,42.1,47.25,141.88,0.88,35.0,748.79,730.57,680.37,663.02,601.71,4.39,14.69,15.34,23.29,10.3,21.6,21.6,21.6,21.6,21.6,9.49,31.72,33.13,50.31,22.24
Dhunseri Tea & Industries Ltd.,117.85,116.85,111.25,4.24,10.00,50.00,1.05,47.25,866.63,0.14,73.0,180.81,177.02,187.73,183.09,164.22,1.94,11.75,14.43,31.72,25.08,7.01,7.01,7.01,7.01,7.01,1.36,8.23,10.11,22.22,17.57
Diana Tea Company Ltd.,6.50,,0.36,-,5.00,0.00,18.06,47.25,39.97,0.16,3.0,62.31,60.82,52.69,48.96,43.8,-0.79,1.5,1.61,1.01,1.44,7.5,7.5,7.5,7.5,7.5,-1.19,2.26,2.41,1.52,2.16
Harrisons Malyalam Ltd.,55.40,55.65,3.79,-,10.00,0.00,14.68,29.71,42.62,1.30,0.0,353.75,383.31,366.64,285.44,331.07,-13.05,2.41,-2.83,-24.75,-19.18,18.45,18.45,18.45,18.45,18.45,-24.09,4.45,-5.22,-45.68,-35.26
Kanel Industries Ltd.,0.28,,-,-,10.00,0.00,-,13.10,-3.56,-,0.0,41.9,61.72,66.14,25.56,22.69,-0.02,0.0,-0.09,-0.01,-0.01,18.41,18.41,18.41,18.41,18.41,-0.4,-0.1,-1.63,-0.19,-0.24
Nicco Park and Resorts Ltd.,32.40,,1.77,2.47,1.00,80.00,18.31,32.17,9.10,3.56,37.0,55.46,46.99,44.98,42.58,42.87,1.74,1.35,1.16,1.05,0.98,4.68,4.68,4.68,4.68,4.68,8.16,6.32,5.44,4.91,4.6
Avanti Feeds Ltd.,284.00,283.65,20.0,1.41,1.00,400.00,14.18,18.56,77.97,3.64,415.0,2738.42,2815.33,2654.19,2018.29,1776.26,16.4,91.37,43.01,34.19,128.35,13.62,9.08,9.08,9.08,9.08,223.49,414.94,195.33,155.26,116.58
Wonderla Holidays Ltd.,135.35,134.80,12.42,1.33,10.00,18.00,10.85,32.17,144.83,0.93,15.6,282.04,270.49,270.41,205.36,181.87,9.81,6.83,5.85,10.59,9.19,56.51,56.5,56.5,56.5,56.5,55.41,38.5,33.07,59.82,50.63
Coastal Trawlers Ltd.,150.00,,39.65,1.00,10.00,15.00,3.78,4.37,122.69,1.22,15.0,468.27,506.96,474.16,333.59,278.31,41.94,98.26,52.73,31.14,80.26,10.17,2.54,2.54,2.54,1.27,42.82,25.07,13.4,7.92,10.2
Nath Bio-Genes Ltd.,142.20,142.00,25.44,-,10.00,0.00,5.58,14.86,267.09,0.53,0.0,233.2,192.59,169.73,162.11,185.33,20.22,15.48,10.17,8.85,15.85,19.0,19.0,16.0,16.0,16.0,38.43,29.42,16.28,14.17,25.36
Beeyu Overseas Ltd.,0.32,,-,-,10.00,0.00,-,26.39,0.12,2.67,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,-0.08,-0.18,-0.02,-0.29,14.14,14.14,14.14,14.14,14.14,-0.59,-0.11,-0.25,-0.03,-0.04
Zeal Aqua Ltd.,50.20,,-,-,10.00,0.00,-,10.32,38.52,1.30,0.0,231.81,179.5,174.55,121.52,171.34,5.91,9.96,4.22,6.23,10.02,12.61,4.2,4.2,3.07,3.07,7.5,4.19,1.77,1.91,3.07
Apex Frozen Foods Ltd.,172.90,171.90,19.16,1.16,10.00,20.00,8.97,55.17,113.63,1.52,12.5,874.71,998.63,699.12,0.0,19.45,26.63,10.17,0.0,31.25,31.25,24.0,0.0,60.8,79.1,24.41,0.0
PG Foils Ltd.,45.55,,27.41,-,10.00,0.00,1.66,5.07,184.21,0.25,6.6,258.84,247.32,237.65,211.22,250.24,19.95,9.0,21.72,-1.14,11.11,8.11,8.11,8.11,8.12,8.12,16.18,7.3,17.61,9.08,4.62
National Aluminium Company Ltd.,28.35,28.35,1.44,20.28,5.00,115.00,19.69,9.11,56.20,0.50,72.0,11499.32,9618.31,7543.04,6816.96,7382.81,9.06,6.94,2.98,3.05,5.13,932.81,966.46,966.46,1288.62,1288.62,1732.4,1342.41,668.53,787.11,1321.85
Hindustan Aeronautics Ltd.,536.10,533.30,83.53,3.69,10.00,198.00,6.38,9.14,324.43,1.65,203.0,19894.12,18519.25,17951.8,16758.5,15647.7,68.26,58.5,73.0,42.0,21.0,334.39,334.39,361.5,361.5,482.0,2282.44,2070.41,2615.6,1998.0,1000.7
Century Extrusions Ltd.,1.63,1.65,0.18,-,1.00,0.00,9.17,6.82,5.86,0.28,0.0,255.13,235.92,181.89,167.97,173.84,0.51,0.45,0.15,0.11,0.18,8.0,8.0,8.0,8.0,8.0,4.03,3.71,1.22,0.91,1.47
Sacheta Metals Ltd.,13.00,,1.09,1.92,10.00,2.50,11.93,6.82,16.39,0.79,2.1,98.07,69.97,61.5,50.41,67.97,1.1,0.98,0.32,0.22,0.18,18.94,18.94,18.94,18.94,18.94,2.08,1.87,0.6,0.42,0.34
Hind Aluminium Industries Ltd.,35.80,,-,1.40,10.00,5.00,-,5.07,130.56,0.27,13.6,541.53,660.05,498.17,719.77,441.45,6.11,12.5,10.27,14.3,11.56,6.3,6.3,6.3,6.3,6.3,3.76,7.87,6.46,9.01,7.28
Maan Aluminium Ltd.,29.00,27.45,13.13,3.45,10.00,10.00,2.09,9.11,64.63,0.45,7.0,651.99,447.08,349.56,190.33,110.52,13.64,9.49,9.49,1.78,0.83,6.76,6.76,3.38,3.38,3.38,9.22,6.42,3.21,0.6,0.28
Manaksia Aluminium Company Ltd.,2.80,2.70,0.79,-,1.00,0.00,3.42,9.11,16.22,0.17,0.0,275.61,227.91,238.39,265.52,177.24,1.11,0.19,-0.7,-0.77,0.75,6.55,6.55,6.55,6.55,0.05,7.33,1.24,-4.62,-5.04,2.51
Galada Power and Telecommunications Ltd.,0.54,,-,-,10.00,0.00,-,9.11,-63.03,-,0.0,3.65,12.97,4.26,8.82,6.41,-4.65,1.99,-10.92,5.74,100.45,7.49,7.49,7.49,7.49,7.49,-3.47,1.43,-8.17,4.3,75.23
Arfin India Ltd.,30.00,,1.81,-,10.00,0.00,16.57,5.07,54.26,0.55,13.0,412.88,466.11,343.8,272.88,249.95,4.61,29.98,40.08,21.9,15.87,15.89,13.24,4.05,3.02,3.02,6.56,21.7,13.02,6.61,4.67
TAAL Enterprises Ltd.,97.90,,13.97,10.21,10.00,100.00,7.01,228.17,55.33,1.77,40.0,7.82,6.39,6.82,7.91,0.0,39.66,1.61,-10.22,-1.6,0.0,3.12,3.12,3.12,3.12,0.0,12.36,0.5,-3.19,-0.5,0.0
Grindwell Norton Ltd.,454.00,453.45,16.17,1.32,5.00,120.00,28.04,27.06,98.16,4.63,112.0,1566.85,1405.38,1236.43,1158.45,1110.39,14.8,13.29,10.48,18.34,18.25,55.36,55.36,55.36,27.68,27.68,163.84,147.16,116.01,101.52,101.02
Taneja Aerospace and Aviation Ltd.,14.75,,2.74,-,5.00,0.00,5.38,228.17,37.11,0.40,0.0,32.73,31.51,36.81,60.35,31.68,2.07,0.06,0.05,-1.73,-3.02,12.47,12.47,12.47,12.47,12.47,5.16,0.15,0.58,-4.31,-7.53
Voltas Ltd.,472.80,471.25,15.68,0.85,1.00,400.00,30.05,33.68,113.13,4.18,327.0,6693.19,5808.77,5410.36,5148.77,5168.95,14.04,15.15,14.69,10.56,9.95,33.08,33.08,33.08,33.08,33.07,464.47,501.23,486.19,349.35,329.23
Johnson Controls -Hitachi Air Conditioning India Ltd.,2142.00,2151.25,43.64,0.07,10.00,15.00,49.3,17.21,225.44,9.50,15.0,2241.3,2185.39,1971.58,1659.53,1572.84,31.6,36.8,29.81,18.38,28.6,27.19,27.19,27.19,27.19,27.19,85.94,100.15,81.04,49.98,77.76
Amber Enterprises India Ltd.,1265.00,1267.90,40.15,-,10.00,0.00,31.58,17.21,310.13,4.08,4.220000000000001,2188.4,1923.07,1554.48,978.07,1081.22,29.42,19.71,13.81,9.41,11.65,31.45,31.45,23.81,21.7,21.7,92.52,61.99,30.09,20.42,25.28
Waterbase Ltd.,87.35,87.60,5.43,1.72,10.00,15.00,16.13,10.32,41.77,2.09,11.0,365.48,342.74,331.89,318.64,277.56,7.45,7.58,3.25,4.7,5.06,41.43,41.43,38.6,38.6,38.6,30.85,29.9,12.56,0.68,19.51
Blue Star Ltd.,440.00,442.70,13.4,2.27,2.00,500.00,33.04,17.21,99.78,4.41,390.0,4783.7,4415.97,4133.34,3531.5,3080.79,12.66,14.82,11.73,12.88,16.96,19.26,19.2,19.11,17.99,17.99,121.79,141.93,111.97,122.77,152.53
Motherson Sumi Systems Ltd.,57.95,57.95,2.29,2.59,1.00,150.00,25.31,25.49,20.39,2.84,225.0,7581.27,7456.09,6312.87,5282.85,5017.77,2.58,4.18,6.05,5.43,5.84,315.79,210.53,140.36,132.29,88.2,813.77,879.13,827.32,718.63,514.88
Hindustan Composites Ltd.,104.80,104.10,11.19,1.91,5.00,40.00,9.3,4.26,516.52,0.20,15.0,196.61,199.18,166.17,184.4,152.06,12.86,17.18,50.59,79.44,52.41,7.38,7.38,4.92,4.92,4.92,19.0,25.38,24.89,39.11,25.8
Carborundum Universal Ltd.,228.40,222.70,9.41,1.20,1.00,275.00,23.67,27.06,67.43,3.39,190.0,1782.22,1576.23,1405.68,1299.28,1168.69,8.8,7.6,6.46,6.18,7.89,18.92,18.9,18.87,18.84,18.82,166.09,143.48,121.77,116.28,148.33
Sundaram-Clayton Ltd.,1526.15,1501.25,28.13,2.36,5.00,720.00,53.37,33.59,340.40,4.48,570.0,1833.07,1642.96,1394.55,1414.76,1346.11,59.14,27.14,52.19,69.0,35.19,10.12,10.12,10.12,10.12,10.12,119.66,54.92,105.59,139.6,71.16
Sandhar Technologies Ltd.,134.90,137.05,13.02,1.85,10.00,25.00,10.53,12.56,117.73,1.15,37.4,2036.99,1684.17,1368.66,1290.71,1256.93,15.84,13.21,7.16,6.31,6.84,60.19,60.19,51.16,51.16,10.23,95.33,67.73,36.64,32.27,34.84
Maharashtra Scooters Ltd.,2075.00,2076.65,64.3,1.59,10.00,330.00,32.3,12.06,9907.82,0.21,312.0,14.5,12.33,8.5,8.97,6.95,63.7,53.16,10.99,88.37,47.9,11.43,11.43,11.43,11.43,11.43,72.8,60.76,12.56,101.0,54.76
Pricol Ltd.,36.80,35.80,-,-,1.00,0.00,-,12.56,67.54,0.54,40.0,1377.99,1318.41,1264.86,121.64,96.77,-24.04,5.64,4.83,0.89,-12.71,9.48,9.48,9.48,10.0,10.0,-227.93,53.47,45.77,8.94,-12.71
Varroc Engineering Ltd.,125.70,125.00,5.56,3.18,1.00,400.00,22.48,10.32,83.73,1.50,109.7,2573.15,2046.89,1676.01,1558.92,1478.43,8.87,4.96,3.59,13.63,-32.39,13.48,12.31,14.33,27.09,10.47,119.54,69.83,42.34,142.68,-338.96
Subros Ltd.,130.00,132.15,12.98,1.00,2.00,65.00,10.18,12.23,104.26,1.25,44.0,2124.48,1912.89,1549.46,1306.9,1197.15,12.35,10.11,2.34,4.0,3.39,13.05,12.0,12.0,12.0,12.0,76.13,60.62,14.04,24.01,20.32
Enkei Wheels (India) Ltd.,172.00,,8.7,-,5.00,0.00,19.77,9.19,75.84,2.27,0.0,266.76,474.48,464.77,406.72,385.49,1.61,7.91,7.11,2.95,-4.03,8.54,8.11,7.71,7.44,7.07,2.73,12.73,10.78,4.21,-5.47
Rajratan Global Wire Ltd.,195.00,,24.04,1.03,10.00,20.00,8.11,8.42,126.78,1.54,14.4,314.56,218.37,176.61,206.9,239.01,42.94,20.21,18.5,22.15,14.66,4.35,4.35,4.35,4.35,4.35,18.69,8.79,8.05,9.64,6.38
GNA Axles Ltd.,136.15,136.80,30.76,2.02,10.00,27.50,4.45,14.76,187.16,0.73,9.5,928.28,670.14,513.41,508.52,430.08,30.68,23.71,13.79,17.12,14.24,21.47,21.47,21.47,15.17,15.17,65.86,50.88,29.6,25.96,21.6
SKF India Ltd.,1448.00,1471.40,59.86,0.83,10.00,120.00,24.58,25.08,343.25,4.22,88.0,3034.53,2750.41,2631.41,2402.91,2415.6,65.7,57.3,46.3,39.1,38.5,49.44,51.34,52.73,52.73,52.73,335.77,295.89,243.89,205.97,202.77
Rane Brake Linings Ltd.,342.55,347.85,49.41,4.52,10.00,155.00,7.04,33.59,265.04,1.29,126.0,513.89,482.46,487.48,448.42,416.41,46.15,45.16,43.86,32.54,20.36,7.92,7.92,7.92,7.91,7.91,36.53,35.75,34.72,25.76,16.11
Sundaram Brake Linings Ltd.,158.65,157.00,13.26,-,10.00,0.00,11.84,33.59,208.37,0.76,0.0,286.26,246.98,227.6,227.52,236.51,17.93,9.57,4.47,0.68,-36.97,3.93,3.93,3.93,3.93,3.93,7.05,3.76,1.76,0.27,-14.55
Kinetic Engineering Ltd.,12.91,,-,-,10.00,0.00,-,12.06,13.13,0.98,0.0,115.77,100.94,79.5,60.38,53.32,-4.98,-4.24,-9.67,-1.78,6.3,17.71,17.71,16.73,16.13,13.57,-8.16,-7.77,-14.17,-1.19,10.22
Sal Automotive Ltd.,85.00,,9.97,5.29,10.00,45.00,8.53,6.32,139.42,0.61,40.0,130.65,113.71,92.99,95.64,93.83,14.48,14.66,9.31,8.48,10.07,2.4,2.4,2.4,2.4,2.4,3.47,3.41,2.23,2.04,2.41
Frontier Springs Ltd.,179.90,,31.09,0.56,10.00,10.00,5.79,6.93,95.83,1.88,2.0,83.13,59.48,48.76,40.86,36.09,21.62,9.05,5.42,1.29,1.03,3.96,3.96,3.96,3.96,3.96,8.4,3.56,2.14,0.51,0.41
Automobile Corporation of Goa Ltd.,298.95,,22.93,5.85,10.00,175.00,13.04,12.56,344.92,0.87,165.0,426.17,489.42,467.42,416.94,395.0,32.49,31.39,32.67,25.74,23.76,6.42,6.42,6.42,6.42,6.42,20.86,20.16,20.98,16.53,15.26
Schaeffler India Ltd.,3607.40,3568.80,117.6,0.97,10.00,350.00,30.35,25.08,947.57,3.81,208.0,4360.63,4561.51,1918.72,1813.9,1724.43,117.6,134.3,143.2,117.05,118.84,31.26,31.26,16.62,16.62,16.62,367.64,419.8,238.02,194.5,197.48
Timken India Ltd.,789.65,790.75,32.18,0.13,10.00,10.00,24.57,25.08,178.25,4.43,14.0,1664.43,1234.01,1056.18,1061.9,928.96,19.92,13.53,14.3,13.52,11.87,75.21,67.99,67.99,67.99,67.99,148.64,91.99,97.2,91.91,80.69
Automotive Axles Ltd.,356.80,360.80,43.24,5.47,10.00,195.00,8.34,4.77,356.30,1.00,98.0,1939.04,1519.37,1146.83,1085.97,676.93,80.43,55.54,32.15,23.01,12.03,15.11,15.11,15.11,15.11,15.11,121.55,83.93,48.58,34.77,18.18
Talbros Engineering Ltd.,61.00,,8.19,2.46,10.00,15.00,7.45,12.23,113.14,0.54,22.0,269.25,203.96,160.89,139.31,128.7,14.41,17.88,27.54,13.26,17.92,5.08,5.08,2.54,2.54,2.54,7.2,8.95,6.99,3.37,4.55
Menon Bearings Ltd.,29.90,29.75,2.84,5.02,1.00,150.00,10.48,25.08,16.17,1.85,116.0,172.89,144.86,122.92,110.95,102.61,4.51,3.76,3.43,3.19,12.36,5.6,5.6,5.6,4.67,4.67,25.3,21.07,19.24,14.89,11.54
NRB Bearings Ltd.,57.75,57.65,3.73,4.50,2.00,130.00,15.46,25.08,48.91,1.18,95.0,940.21,830.56,708.7,659.2,655.59,10.19,8.45,5.27,4.74,5.37,19.38,19.38,19.38,19.38,19.38,98.77,81.9,51.04,45.98,52.07
Swaraj Engines Ltd.,912.00,905.65,59.22,5.48,10.00,500.00,15.29,10.74,196.16,4.65,418.0,871.74,771.16,683.32,525.91,539.7,67.96,64.62,55.42,41.22,41.74,12.13,12.13,12.42,12.42,12.42,82.42,80.1,68.83,51.2,51.84
Mahindra CIE Automotive Ltd.,72.05,71.50,3.59,-,10.00,0.00,19.92,9.93,102.14,0.71,0.0,2894.52,3146.16,1959.31,1786.89,1607.83,4.55,2.48,1.83,1.53,0.0,379.01,378.78,378.37,378.09,323.52,172.26,93.86,69.3,51.45,46.12
Galaxy Bearings Ltd.,126.00,,16.74,-,10.00,0.00,7.53,25.08,100.14,1.26,0.0,74.33,52.34,41.78,37.41,43.89,20.69,11.34,9.24,5.02,9.02,3.18,3.18,3.18,3.18,3.18,6.59,3.61,2.94,1.6,2.87
Bimetal Bearings Ltd.,190.00,,-,5.26,10.00,100.00,-,25.08,474.18,0.40,83.0,206.41,182.13,143.84,144.02,157.23,26.96,26.55,13.07,13.49,14.55,3.83,3.83,3.83,3.83,3.83,10.31,10.15,5.0,5.16,5.58
Austin Engineering Company Ltd.,28.80,,-,1.74,10.00,5.00,-,25.08,153.30,0.19,4.0,95.14,75.33,71.21,70.04,98.3,5.98,-3.77,-7.88,-3.47,9.45,3.48,3.48,3.48,3.48,3.48,2.08,-1.24,-2.74,-1.21,3.29
Rane Engine Valves Ltd.,141.00,138.30,-,-,10.00,0.00,-,14.76,189.48,0.74,10.0,422.62,375.23,360.17,349.6,395.18,-20.2,-25.4,84.91,-18.67,34.94,6.72,6.72,6.72,6.72,5.15,-13.57,-17.06,57.06,-12.54,23.48
SNL Bearings Ltd.,105.00,,14.34,4.76,10.00,50.00,7.32,25.08,94.80,1.11,30.0,40.64,38.31,33.53,30.07,26.48,22.55,22.76,18.23,15.61,12.37,3.61,3.61,3.61,3.61,3.61,8.14,8.22,6.59,5.68,4.54
India Nippon Electricals Ltd.,186.30,190.40,27.06,3.76,5.00,140.00,7.04,25.49,177.38,1.05,110.0,525.21,452.39,349.96,339.65,327.73,26.31,22.15,28.65,22.4,20.03,11.31,11.31,11.31,11.31,11.31,59.51,50.1,32.4,25.33,22.66
Setco Automotive Ltd.,5.70,5.65,1.4,17.54,2.00,50.00,4.04,4.26,19.60,0.29,38.5,613.4,524.75,510.82,505.15,458.13,2.71,2.16,1.44,2.5,8.81,26.74,26.72,26.72,26.72,26.72,36.22,28.81,19.2,33.42,23.51
MM Forgings Ltd.,174.30,170.00,23.7,2.87,10.00,50.00,7.17,9.93,180.71,0.96,60.0,903.92,620.62,478.4,502.26,502.53,33.7,56.76,35.97,41.5,41.88,24.14,12.07,12.07,12.07,12.07,81.35,68.51,43.42,50.09,50.55
Uni Abex Alloy Products Ltd.,350.20,,70.86,2.14,10.00,75.00,4.94,23.18,213.78,1.64,32.0,89.86,80.97,59.15,62.09,78.19,47.64,6.89,-43.25,-15.8,-22.07,1.98,1.98,1.98,1.97,1.98,9.41,1.37,-8.54,-3.12,-7.72
Magna Electro Castings Ltd.,101.00,,18.1,4.95,10.00,50.00,5.58,23.18,154.49,0.65,25.6,122.92,93.07,79.3,93.43,105.06,24.87,14.98,16.28,14.51,11.85,4.58,4.58,4.58,4.58,4.58,11.4,6.86,7.46,6.65,5.43
Ramkrishna Forgings Ltd.,138.00,138.90,12.5,1.09,10.00,15.00,11.11,9.93,267.34,0.52,15.0,1806.69,1435.47,875.51,897.15,740.76,36.6,30.15,6.64,19.64,27.61,32.61,32.59,28.67,28.67,27.47,119.31,94.66,19.04,54.89,74.74
Steelcast Ltd.,86.45,,7.71,2.31,5.00,40.00,11.21,23.18,56.80,1.52,15.8,317.92,231.24,134.34,137.04,79.14,12.34,10.31,0.69,0.07,-10.16,10.12,10.12,10.12,10.17,9.15,24.98,20.86,2.36,0.13,-18.5
PTC Industries Ltd.,326.90,,19.44,-,10.00,0.00,16.82,12.64,267.98,1.22,0.0,151.25,101.07,99.4,95.68,100.77,20.83,14.2,11.18,11.74,16.85,5.24,5.24,5.24,5.24,5.24,10.92,7.44,5.86,6.15,6.49
Bhagwati Autocast Ltd.,106.70,,7.21,0.94,10.00,10.00,14.8,23.18,86.47,1.23,7.6,119.96,89.51,70.42,64.36,64.43,12.81,3.85,4.91,2.72,-8.95,2.88,2.88,2.88,2.88,2.88,3.69,1.11,1.41,0.78,-2.58
Sanghvi Forging and Engineering Ltd.,16.10,13.20,-,-,10.00,0.00,-,9.93,-14.57,-,0.0,61.18,54.71,55.42,68.35,87.13,-13.4,-15.51,-15.12,-7.1,-5.85,14.89,14.89,14.89,14.89,13.89,-19.95,-23.1,-22.52,-9.99,-7.95
Rajkumar Forge Ltd.,18.05,,4.04,-,10.00,0.00,4.47,9.93,20.24,0.89,0.0,61.41,29.32,6.02,12.34,26.66,1.87,0.33,-3.85,-1.02,0.25,10.94,10.94,10.94,10.94,10.94,2.08,0.36,-4.21,-1.12,1.06
Cummins India Ltd.,309.00,308.50,23.52,5.50,2.00,850.00,13.12,10.74,149.01,2.07,740.0,5659.0,5082.5,5077.34,4708.82,4405.8,26.07,25.56,26.5,27.21,28.35,55.44,55.44,55.44,55.44,55.44,722.57,708.47,734.63,754.3,785.85
Endurance Technologies Ltd.,603.15,595.00,33.14,0.91,10.00,55.00,17.95,12.56,147.87,4.08,52.75,5417.46,4641.1,3865.67,3673.91,3509.96,25.44,19.31,15.75,14.62,12.89,140.66,140.66,140.66,17.58,17.58,357.86,271.6,221.5,205.6,181.4
Investment and Precision Castings Ltd.,146.90,,0.41,1.36,10.00,20.00,358.29,23.18,150.01,0.98,13.9,118.68,107.57,92.01,84.93,74.14,19.95,15.96,8.48,5.73,4.31,5.0,5.0,5.0,5.0,5.0,9.98,7.98,4.24,2.86,2.15
Rama Steel Tubes Ltd.,20.20,19.95,2.15,-,5.00,0.00,9.28,8.42,48.62,0.42,0.0,404.56,334.33,234.88,216.79,192.96,4.54,6.34,5.14,3.41,4.6,8.4,8.4,8.02,7.47,1.49,7.63,10.59,7.68,5.09,0.69
Suprajit Engineering Ltd.,121.85,123.80,9.96,1.27,1.00,155.00,12.43,12.23,50.12,2.43,121.0,1058.49,964.82,631.38,587.94,522.23,8.21,7.48,4.89,4.12,3.72,13.99,13.99,13.13,13.13,12.0,114.82,104.64,64.25,49.97,44.61
Carnation Industries Ltd.,5.32,,-,-,10.00,0.00,-,23.18,21.22,0.25,3.4,7.41,50.11,81.73,98.42,96.6,-13.55,-18.85,0.63,6.76,4.06,3.46,3.46,3.46,3.46,3.46,-4.68,-6.53,0.22,2.34,1.4
Smiths & Founders Ltd.,0.67,,-,-,1.00,0.00,-,9.93,0.39,1.72,0.0,10.16,8.83,7.54,7.82,6.54,-0.11,-0.01,-0.02,-0.15,-0.18,10.2,10.2,10.2,10.2,10.2,-1.1,-0.08,-0.23,-1.52,-1.81
WABCO India Ltd.,6185.00,6205.60,94.59,0.15,5.00,180.00,65.61,33.59,938.43,6.59,140.0,2854.14,2568.9,2067.49,1838.27,1347.96,148.76,143.84,112.55,107.88,63.61,9.48,9.48,9.48,9.48,9.48,282.17,272.83,213.48,204.62,120.66
Porwal Auto Components Ltd.,8.42,,0.95,8.91,10.00,7.50,8.86,12.56,38.82,0.22,4.6,120.63,110.14,91.96,82.56,72.67,2.26,3.35,1.38,1.48,0.74,15.1,15.1,15.1,15.1,15.1,3.42,5.05,2.08,2.23,1.12
Munjal Auto Industries Ltd.,26.05,26.30,1.76,3.84,2.00,50.00,14.94,12.56,30.12,0.86,81.0,1146.98,1033.07,849.93,885.06,888.25,3.33,4.16,6.35,4.02,7.61,20.0,20.0,10.0,10.0,10.0,33.25,41.59,31.77,20.08,38.03
Banco Products (India) Ltd.,63.80,63.70,13.29,12.54,2.00,400.00,4.79,14.76,92.70,0.69,346.0,736.19,618.12,517.42,493.01,420.11,17.19,16.74,15.0,11.48,5.83,14.3,14.3,14.3,14.3,14.3,122.91,119.73,107.25,82.13,41.68
PPAP Automotive Ltd.,132.00,131.60,14.76,3.41,10.00,45.00,8.92,12.56,210.79,0.63,30.0,410.98,397.62,342.7,302.75,318.5,23.87,26.72,17.08,10.91,8.59,14.0,14.0,14.0,14.0,14.0,33.42,37.41,23.91,15.27,12.03
Minda Corporation Ltd.,56.55,56.70,5.66,1.24,2.00,35.00,10.02,12.56,49.68,1.14,27.0,1133.81,932.99,773.12,704.69,649.06,5.4,3.35,2.54,2.22,1.67,45.44,41.86,41.86,41.86,41.6,105.58,70.08,53.19,46.47,34.87
